Symbol,Trades,Accuracy,Annual_Return,Avg_Holding_Days,Category
HINDPETRO,7,85.71428571428571,0.5888939649217251,87.28571428571429,Follows SuperTrend
HINDZINC,5,60.0,0.276514596454813,199.2,Follows SuperTrend
HISARMETAL,5,0.0,-0.24844680896862115,219.6,Does NOT Follow
HLEGLAS,7,28.57142857142857,0.16794004108101546,111.85714285714286,Moderate
HOMEFIRST,7,42.857142857142854,0.09826306779949467,165.14285714285714,Moderate
HPIL,17,52.94117647058824,0.07577144948789472,71.05882352941177,Moderate
HPL,5,60.0,0.481103785833189,203.0,Follows SuperTrend
HUDCO,9,44.44444444444444,0.2910934655091717,128.11111111111111,Moderate
ICDSLTD,5,40.0,1.1809986244345896,49.8,Moderate
ICICIBANK,5,40.0,-0.051486924481018215,143.4,Does NOT Follow
IDBI,8,37.5,0.04825025646814507,171.875,Moderate
IDEA,6,50.0,0.20494496374306692,205.16666666666666,Follows SuperTrend
IDEAFORGE,5,20.0,-0.29766250408066,72.4,Does NOT Follow
IEX,7,42.857142857142854,0.1992782750502493,76.28571428571429,Moderate
IFBIND,7,42.857142857142854,0.016531531671499344,178.57142857142858,Moderate
IFGLEXPOR,5,40.0,0.3109234431466208,109.8,Moderate
IGARASHI,5,40.0,-0.24426110582332405,127.2,Does NOT Follow
IGL,5,60.0,0.020476366852242966,170.4,Moderate
IMPEXFERRO,8,75.0,6.456598203834796,63.0,Follows SuperTrend
INDBANK,5,40.0,0.054491820231513,227.4,Moderate
INDHOTEL,5,60.0,0.27861869823846774,179.4,Follows SuperTrend
INDIACEM,9,33.33333333333333,0.03932620181313107,113.22222222222223,Moderate
INDIAGLYCO,6,33.33333333333333,-0.03655788328247289,135.83333333333334,Does NOT Follow
INDIAMART,7,0.0,-0.32053214321682333,130.28571428571428,Does NOT Follow
INDIANB,8,62.5,0.3559861387261689,161.375,Follows SuperTrend
INDIGO,8,25.0,-0.06472951820433315,86.625,Does NOT Follow
INDIGOPNTS,5,20.0,-0.19839420343633718,159.2,Does NOT Follow
INDUSINDBK,5,40.0,-0.022225456477317884,118.6,Does NOT Follow
INFIBEAM,6,33.33333333333333,0.03821575281748424,177.5,Moderate
INFOMEDIA,6,50.0,0.290733076519071,120.33333333333333,Follows SuperTrend
INFY,6,33.33333333333333,-0.05557696913457855,148.5,Does NOT Follow
INNOVANA,15,53.333333333333336,0.5524493662065217,88.06666666666666,Follows SuperTrend
INTELLECT,6,33.33333333333333,0.0891992767557439,134.0,Moderate
IOB,6,33.33333333333333,-0.012177259960367559,210.5,Does NOT Follow
IOC,7,71.42857142857143,0.2271982069831162,171.57142857142858,Follows SuperTrend
IOLCP,7,28.57142857142857,-0.310696872225955,107.57142857142857,Does NOT Follow
IPCALAB,5,20.0,-0.014210846392129217,201.2,Does NOT Follow
IPL,6,50.0,-0.08288503109288337,189.66666666666666,Does NOT Follow
IRB,5,40.0,0.033796430524021925,96.6,Moderate
IRCON,7,28.57142857142857,0.15491918666811277,181.57142857142858,Moderate
IRCTC,8,50.0,0.432705306098744,88.25,Follows SuperTrend
IRFC,5,40.0,0.5963199782745365,269.6,Moderate
ITC,7,57.14285714285714,0.24564287788836192,136.85714285714286,Follows SuperTrend
ITI,5,40.0,0.5290973224053199,138.8,Moderate
JAICORPLTD,8,25.0,-0.23196791418828566,115.75,Does NOT Follow
JAYAGROGN,5,20.0,-0.2346909438746404,129.0,Does NOT Follow
